Address,District,Price,Living Area,Side Area,Rooms,Monthly Fee,Floor,Year of Building,Elevator,Balcony,Patio,Fireplace,Date of Sale,Days for Sale,Latitude,Longitude
Responsgatan 14,Telefonplan,4315000,71.0,0.0,3.0,5289,6.0,2019.0,1,1,0,0,2024-06-18,25,59.29665749999999,18.0030007
Midsommarvägen 17,Midsommarkransen,3800000,53.0,0.0,3.0,4330,4.0,1944.0,0,1,0,0,2024-09-03,1,59.3006559,18.009769
Valborgsmässovägen 12,LM-Staden,2700000,34.5,0.0,2.0,3293,2.0,,0,0,0,0,2024-05-05,13,59.3006717,18.0009776
Tellusborgsvägen 75,Telefonplan,3000000,39.0,0.0,2.0,2483,2.0,2010.0,1,1,0,0,2024-05-02,0,59.29810490000001,18.0024547
Radiusbacken 31,Midsommarkransen,3100000,45.0,0.0,2.0,3450,1.0,2018.0,0,0,0,0,2024-03-13,38,59.29823739999999,18.0044817
Cedergrensvägen 34,LM-Staden,2770000,35.0,0.0,2.0,3206,1.0,,0,0,0,0,2024-01-26,13,59.30139319999999,17.9990736
Midsommarvägen 14,Midsommarkransen,3350000,44.0,0.0,2.0,3454,2.0,1939.0,0,0,0,0,2024-07-16,12,59.3009022,18.0124703
Borrvägen 18,Hökmossen,2800000,53.5,0.0,3.0,4255,3.0,1944.0,0,1,0,0,2024-03-13,11,59.29340140000001,17.9970074
Midsommarvägen 80,Midsommarkransen,3050000,40.0,0.0,2.0,3219,3.0,1944.0,0,0,0,0,2024-04-04,5,59.2998704,18.0049275
Fastlagsvägen 32,Midsommarkransen,5140000,64.0,0.0,3.0,4406,1.0,1949.0,0,0,0,0,2024-05-17,14,59.3037539,17.9967831
Midsommargränd 2,Midsommarkransen,4550000,56.0,0.0,2.5,3106,1.0,2009.0,1,0,1,0,2024-08-15,84,59.29932840000001,18.004737
Responsgatan 14,Telefonplan,3300000,46.0,0.0,2.0,3135,6.0,2019.0,0,1,0,0,2024-01-23,25,59.29665749999999,18.0030007
Bäckvägen 80,Midsommarkransen,3425000,47.0,0.0,2.0,3411,2.0,1942.0,0,1,0,0,2024-06-05,33,59.3023176,17.993517
Midsommarvägen 25,Midsommarkransen,3120000,44.0,0.0,2.0,3508,2.0,1943.0,0,1,0,0,2024-08-31,8,59.2998732,18.0081384
Radiusbacken 49,Midsommarkransen,2600000,39.0,0.0,2.0,2990,1.0,2020.0,1,1,0,0,2024-07-11,263,59.2984136,18.0051369
Tellusgatan 4C,Telefonplan,2850000,46.0,0.0,2.0,3789,1.0,2022.0,1,0,1,0,2024-06-21,34,59.29803709999999,17.9904915
Tellusgången 34,Telefonplan,3895000,61.0,0.0,2.0,4393,5.0,2015.0,1,1,0,0,2024-01-23,28,59.29869910000001,17.9890623
Vattenledningsvägen 42B,Gamla Midsommarkransen,6980000,80.5,0.0,3.0,5137,1.0,1912.0,0,0,0,1,2024-04-12,14,59.3027085,18.0090985
Ringdansvägen 1F,Gamla Midsommarkransen,11000000,114.0,0.0,4.0,7308,2.0,1911.0,0,0,0,1,2024-04-25,6,59.3020576,18.0073006
Responsgatan 12,Telefonplan,2550000,34.0,0.0,1.0,2317,2.0,2019.0,1,1,0,0,2024-07-26,0,59.29645899999999,18.0027115
Tegelbruksvägen 8C,Midsommarkransen,6775000,80.0,0.0,3.0,3848,2.0,1934.0,0,0,0,0,2024-02-10,18,59.30281830000001,18.0148654
Pingstvägen 27,LM-Staden,3600000,51.0,0.0,2.0,4232,3.0,1940.0,0,0,0,0,2024-01-18,4,59.30118390000001,17.9974177
